MajorCommandID,pNoEffComp,pEffComp,pPlatOther,pPlatFnC,pPlatEnC,pPlatWnA,pPlatLand,pPlatVessel,pPlatAir,pPlatMnS,pPSRServices,pPSRProducts,pRnD,pPriceFixed,pPriceTime,pPriceCost,pPriceOther,pFeeNone,pFeeRedermination,pFeeEPA,pFeeAward,pFeeIncentive,pFeeEffort,pFeeFixed,pAward,pIDV,pVehPur,pVehFSS,pVehMAC,pVehDef,pVehSAC,pVehOIDV,pVehBPA,pCompNo Comp. (Unlabeled),pNoComp1Source,pNoCompOther,pNoCompFollowOn,pComp1Offer,pComp2Offers,pComp3or4Offers,pComp5pOffers,wavOffers,avOffers,lwavOffers,lavOffers,TotalValue,TotalCount,avSize,lavSize,MaxAnnualValue,pPscPAMS,pPscOther,pPscERS,pPscEnC,pPscMED,pPscFRSnC,pPscLnM,pPscICT,pPscRnD,pPscMnS,pPscEngines,pPscCloth,pPscLand,pPscAir,pPscShips,pPscFuels,TotalThreshold,AnnualThreshold,Exclude
ORG-2875,0.528617086,0.471382914,0.820767616,0.142303108,0.036360159,0.000167844,0.000148563,0.000247789,4.16E-06,7.61E-07,0.745508314,0.2535667,0.000924985,0.979555894,0.005544367,0.014868197,3.15E-05,0.960419473,0.000291041,0.029346801,0.001485775,0.000125202,3.15E-05,0.008300166,0.421973535,0.578026465,0.236312206,0.145359491,0.125725718,0.19356684,0.291614361,0.002079309,0.005342076,0.050127353,0.106818535,0.163244195,0.017672506,0.208549271,0.155131726,0.084612561,0.213843853,5.644790559,10.57410882,1.467059629,1.95565681,17454616780,132901,131335.4811,0.062867548,1738532721,0.102643366,0.070050488,0.018494092,0.015642546,0.504219261,0.101098072,0.000110703,0.020181261,0.000862937,1.57E-05,0.000164967,0.166156309,0.000111613,8.43E-05,0.00016223,2.10E-06,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2876,0.396573115,0.603426885,0.353555996,0.390358467,0.210110263,0.004342759,0.032083507,0.003297701,0.006142934,0.000108373,0.765247699,0.225255528,0.009496772,0.767977972,0.046774309,0.184507138,0.000740581,0.797909698,0.001616982,0.007922975,0.13113879,0.009984377,8.29E-05,0.051344236,0.397330679,0.602669321,0.103789442,0.132398212,0.12830484,0.294146978,0.33360248,0.007741863,1.62E-05,0.042368782,0.056337596,0.143719135,0.007427478,0.175189513,0.169520747,0.193071456,0.212365293,6.967433346,19.65232358,1.456123054,2.112726367,92640799449,539099,171843.7605,0.012233619,17919135900,0.289859193,0.07146029,0.067013669,0.118873698,0.003746609,0.320148037,0.00161438,0.084480192,0.009496772,0.000599004,0.002180848,0.015909101,0.011018587,0.001587819,0.000619684,0.001392118,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2877,0.588648376,0.411351624,0.303451743,0.098465381,0.147574154,0.100301734,0.179023846,0.000947647,0.123248769,0.046986725,0.33844058,0.569766317,0.091793103,0.69318017,0.084988859,0.219365241,0.00246573,0.779968901,0.004725146,0.013717938,0.034478124,0.036553273,0.002464505,0.128092113,0.511027161,0.488972839,0.015004516,0.018896162,0.135011856,0.496383517,0.330035015,0.003387866,0.001281067,0.030767172,0.410079874,0.090876064,0.003806217,0.108222964,0.125401526,0.118776711,0.112069471,8.372298936,49.4382481,1.415242011,2.448566487,9.07434E+11,965907,939462.9847,0.01777215,1.04643E+11,0.224777552,0.043430968,0.033728689,0.092416351,0.000469331,0.060070604,0.074943829,0.025607697,0.090164681,0.05416551,0.024322327,0.013917362,0.157705803,0.103406476,0.000627273,0.000245547,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2878,0.280529467,0.719470533,0.607748145,0.117129749,0.258700357,0.007902334,0.003074206,7.12E-05,0.005140859,0.000233194,0.675513934,0.131312562,0.193173504,0.219432022,0.029182435,0.751226097,0.000159446,0.332788077,0,0.000631265,0.497266129,0,0.000159446,0.169155083,0.639460963,0.360539037,0.049902454,0.038355959,0.073702716,0.589806643,0.239925451,0.008132286,0.000174491,0.036098538,0.05295618,0.06200175,0.001407219,0.102517896,0.459861368,0.197564701,0.087592349,5.223820408,4.822259136,1.324993596,1.388228032,2258602267,6435,350987.1433,0.359462363,621399236.3,0.407218758,0.039217112,0.005226586,0.071610175,0.000219364,0.083991871,0.007815307,0.178855278,0.19317474,0.000263215,0.00211287,0.002502591,0.002910158,0.004767384,7.12E-05,4.34E-05,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2879,0.713463024,0.286536976,0.703131306,0.022764313,0.263777801,0.009985809,0.00030996,-1.12E-06,3.10E-05,9.42E-07,0.821243817,0.062295552,0.116460631,0.646085902,0.055569018,0.298324923,2.02E-05,0.710328591,0.000159384,0.000276158,0.012521393,0.005463002,2.02E-05,0.271231317,0.409103296,0.590896704,0.02743891,0.232674588,0.129354002,0.382446481,0.223850682,0.004218636,1.67E-05,0.020831399,0.131295657,0.296738834,0.00480841,0.266426209,0.117361142,0.060874437,0.101663911,3.396612431,7.867241379,1.185609971,1.554320193,10560704195,11704,902315.8062,0.171928368,3034956564,0.353321519,0.009743644,0.00059841,0.051038679,0.242532855,0.012663508,7.43E-05,0.212127525,0.116460631,0,1.77E-06,0.001144681,0.000256637,2.83E-05,7.48E-06,0,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2880,0.303968406,0.696031594,0.787873194,0.007388505,0.203412677,0.000434358,0.000307279,2.73E-05,0.000550355,6.36E-06,0.838832406,0.117236359,0.043931235,0.144166104,0.101201933,0.652223713,0.10240825,0.273889183,0.000417697,0.002389672,0.394648052,0.00038486,0.10240825,0.225862286,0.100996439,0.899003561,0.018592676,0.037489369,0.12162464,0.082542502,0.738851514,0.00083526,6.40E-05,0.007312635,0.042060256,0.141563829,0.001352445,0.107103479,0.12910806,0.27267595,0.298823346,3.966821338,5.021084337,1.48532344,1.451281839,14677043065,12840,1143071.89,0.452649434,2299955219,0.733984836,0.011965482,0.000670154,0.100741077,2.90E-05,0.003528189,0.000159526,0.102259486,0.045468804,2.76E-05,3.90E-05,0.000227021,0.00026544,0.000594672,2.60E-05,1.37E-05,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2882,0.362060064,0.637939936,0.711131708,0.053691719,0.234775828,5.35E-05,0.000253776,6.42E-05,1.11E-05,1.82E-05,0.796452669,0.098213165,0.105334166,0.433273134,0.112600754,0.450123005,0.004003107,0.698173884,1.32E-05,0.000506093,0.005508055,0.000311682,0.004003107,0.291483999,0.269700255,0.730299745,0.052867549,0.159718674,0.272099724,0.216922935,0.283784992,0.012877613,0.001728513,0.004384285,0.08065571,0.06202471,0.005005334,0.207683334,0.187997758,0.281650647,0.170598221,8.143741908,36.46802326,1.397370641,2.119041273,14159620579,34548,409853.5539,0.218575393,2291426006,0.481734232,0.021957573,0.005518969,0.035284541,0.086606577,0.026697495,6.61E-06,0.193788465,0.10964194,2.96E-05,0.000310354,0.038075225,0.000168348,6.26E-05,6.25E-05,5.50E-05,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2936,0.734695608,0.265304392,0.137216372,0.017941679,0.078874386,0.012430725,0.001709875,0.000136022,0.71210627,0.039584671,0.148527055,0.589792168,0.261680777,0.563781753,0.015719491,0.42048939,9.37E-06,0.353339151,0.000684883,0.039479448,0.214433837,0.274576424,9.37E-06,0.117476892,0.794110945,0.205889055,0.003287648,0.005290648,0.051410652,0.791004387,0.134772507,0.014158088,7.61E-05,0.022148,0.594210428,0.02999006,0.001648356,0.085875211,0.193359919,0.043365867,0.029402158,2.587220345,9.892633229,1.140331695,1.979887088,3.34124E+11,127767,2615100.206,0.110248691,36373167362,0.069373642,0.036541835,0.066416668,0.032184362,0.000350121,0.000994167,0.004152339,0.010027321,0.255880637,0.034395342,0.039370291,0.000453269,0.002592736,0.447186308,7.81E-05,2.85E-06,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2937,0.633786747,0.366213253,0.317158603,0.12353911,0.294345751,0.022928054,0.01072521,0.034248064,0.194847447,0.002207762,0.503346395,0.486870683,0.009782922,0.793496439,0.04927438,0.156438178,0.000791002,0.82579942,0.002938512,0.007518094,0.023071362,0.0203395,0.000791002,0.119542109,0.230940295,0.769059705,0.081203648,0.097562765,0.091141991,0.150536239,0.56724751,0.010862292,0.001445554,0.047574235,0.341124293,0.112972445,0.015199738,0.125952361,0.11441084,0.160873631,0.081892458,3.726696206,10.40095508,1.34089798,1.965502308,1.24206E+11,982297,126444.4719,0.011524829,10049967112,0.198101396,0.087381502,0.05074184,0.109952268,0.04517004,0.048578528,0.0179937,0.162138868,0.009782385,0.002772634,0.081660737,0.025233542,0.006765184,0.142601172,0.01063855,0.000487655,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2939,0.141363162,0.858636838,0.751966871,0.056851561,0.032615131,9.99E-05,0.003446517,0.154990686,2.93E-05,0,0.943261501,0.056254425,0.000484074,0.981089435,0.000164363,0.014075324,0.004670879,0.76719547,0.001337912,0.169522401,0.050194865,0.000666,0.004670879,0.006412473,0.911245632,0.088754368,0.032269072,0.007800296,0.006810636,0.878976708,0.073449657,0.000534529,0.000159102,0.008945618,0.010158038,0.024970137,0.000438308,0.096605402,0.361218597,0.135181581,0.36248232,5.020443531,6.209039548,1.579901987,1.770339753,25536480996,44640,572053.7857,0.120334703,2240438149,0.038339725,0.011210103,0.823517014,0.00254686,0.000105296,0.049273639,3.41E-05,0.030509677,0.000454236,3.82E-05,0.00304727,8.07E-05,0.001088183,1.63E-05,0.032761716,0.006976855,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2940,0.197642137,0.802357863,0.045134545,0.937006365,0.009979103,0.000644232,0.003133557,0.004043906,5.88E-05,-5.04E-07,0.980868896,0.014973356,0.004157748,0.928561605,0.001347731,0.069894856,0.000195808,0.906941487,0.000710384,0.003309048,0.077253341,0.002792084,0.000127886,0.00886577,0.376072332,0.623927668,0.007844555,0.005110582,0.239523012,0.368333667,0.37787197,0.0009625,0.000353713,0.007271318,0.018847868,0.12298084,0.000381275,0.062137418,0.130491331,0.215192015,0.442697935,8.085927472,15.71792619,1.816562348,2.235049132,1.15912E+11,433183,267582.1295,0.023822585,11393649638,0.116730874,0.005486367,0.015947292,0.002568096,4.82E-05,0.842972667,0.00026675,0.005202816,0.004128946,0.000608519,0.000931647,1.95E-05,0.001454946,6.63E-05,0.003565701,1.42E-06,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2941,0.697539241,0.302460759,0.193247269,0.029267841,0.098901308,0.071765421,0.001500281,0.544789635,0.001736525,0.058791719,0.278806745,0.59453923,0.126654025,0.380746171,0.005219414,0.613898958,0.000135457,0.207925175,0.001571041,9.53E-05,0.173740834,0.26291795,0.000135457,0.353614249,0.775738539,0.224261461,0.00728973,0.017077758,0.087054612,0.768623565,0.116106512,0.003592104,0.000255718,0.020746153,0.470096612,0.116580645,0.000727333,0.089996063,0.163449355,0.090750045,0.047653794,3.541205673,12.34823848,1.242141058,1.949097207,3.73851E+11,294832,1268012.171,0.060758681,38191635824,0.138864267,0.009078231,0.107212205,0.059709014,9.70E-05,0.01761328,0.05914186,0.01174385,0.121337712,0.046062749,0.044739247,0.00054715,0.000415257,0.001491406,0.381936576,1.02E-05,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2942,0.982781092,0.017218908,0.151056123,0.002262511,0.007369849,0.196320188,4.37E-05,0.046911485,6.44E-05,0.59597173,0.385579413,0.565381228,0.049039359,0.19043071,3.41E-05,0.80500423,0.004530995,0.032344913,2.60E-05,0,0.004172911,0.748588068,0.004530995,0.210337075,0.993626207,0.006373793,0.000895365,0.00246555,0.001499662,0.9927382,0.002256905,0.000134251,1.01E-05,0.018961329,0.784818011,0.023391461,6.13E-05,0.155548955,0.009975113,0.004582216,0.002661622,1.30961003,3.844298246,0.764238832,1.32133014,26439489851,3759,7033649.867,1.345738266,2324776849,0.180513326,0.000476253,0.188300178,0.004759568,6.32E-07,0.002080952,0.01639138,0.002514896,0.048135722,0.556713077,1.07E-05,2.46E-05,4.24E-05,1.26E-05,2.33E-05,3.67E-07,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2943,0.347057383,0.652942617,0.237593202,0.114755133,0.207437045,0.030924002,0.398037787,0.001136169,0.009138892,0.000977769,0.278631943,0.657668465,0.063699592,0.882694967,0.029140283,0.087827377,0.000337373,0.893211776,0.00253901,0.00137258,0.045611044,0.017780105,0.000337373,0.039148112,0.243580008,0.756419992,0.032104728,0.099330879,0.024906045,0.211617516,0.625065244,0.002996444,0.003979145,0.013334603,0.149077043,0.068331695,0.002104968,0.113892908,0.097698649,0.159012252,0.396547883,6.031207798,9.778303199,1.745221299,1.928326979,82290968743,201301,408795.6282,0.043426934,15230484103,0.154455531,0.09178929,0.026188134,0.117490804,0.000719011,0.038614193,0.026106097,0.069407497,0.062309108,0.004920967,0.005658484,0.033692564,0.363516773,0.003761854,0.001093749,0.000275944,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2944,0.432221736,0.567778264,0.211667068,0.01502094,0.692805747,0.003218693,0.000286764,0.004776032,0.000594326,0.07163043,0.53651947,0.281755108,0.181725421,0.319174754,0.022909813,0.657886933,2.85E-05,0.337840138,3.88E-05,0.005989155,0.127762439,0.099821866,2.85E-05,0.428519128,0.288512231,0.711487769,0.020202455,0.035242737,0.20540797,0.268591425,0.457982928,0.012017422,0.000555063,0.031589447,0.118402884,0.079005737,0.007573495,0.198638171,0.301344996,0.149047925,0.114397344,3.546620995,12.36110367,1.249140189,1.903757785,76948337173,207463,370901.4965,0.0505775,8282892995,0.175369429,0.010922173,0.03426299,0.213462643,1.83E-05,0.003539295,0.000310992,0.329220445,0.176521166,0.008323767,0.001471461,0.000190386,0.000189356,0.044939546,0.001255396,2.62E-06,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2945,0.447110903,0.552889097,0.832358126,0.028362338,0.099049055,0.005203007,0.000305391,0.005364772,0.002398283,0.026959027,0.149938248,0.049238055,0.800823697,0.108492728,0.008993152,0.88210837,0.000405751,0.154229388,7.34E-05,9.04E-05,0.064908281,0.006909512,0.000405751,0.773383297,0.698929805,0.301070195,0.03839002,0.027108088,0.089637812,0.663837085,0.174976147,0.005919033,0.000131815,0.012622357,0.03917824,0.098551093,0.000200289,0.296185641,0.266338288,0.077465536,0.209458555,178.2441889,128.6255265,2.131162272,2.463343445,19525464843,62859,310623.2177,0.156583978,1538563383,0.129449568,0.024731222,0.003752511,0.022177786,0.000169344,0.001967683,2.73E-05,0.016857971,0.797173082,0.000160143,0.000481278,0.000749038,0.000236493,0.001176174,0.000879111,1.13E-05,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-3960,0.268850428,0.731149572,0.915128595,0.002012296,0.02043467,0.026795628,0.00050159,0,0.032269213,0.002858009,0.606560239,0.354489939,0.038949822,0.615907045,0.23002202,0.154007491,6.34E-05,0.853425093,0,0,0.011239902,0.009164275,6.34E-05,0.126107286,0.10953818,0.89046182,0.001676123,0.01083919,0.252645505,0.107862255,0.626598791,-6.85E-05,0.000446686,-2.09E-05,0.051705833,0.137609755,0.016333155,0.070272029,0.551396973,0.093808233,0.078894915,2.787101693,9.812849162,1.215997682,1.731579426,15488465911,6090,2543262.054,0.794014109,2870387043,0.072728991,0.291174634,0.519001313,0.007342018,0.000650183,0.000132453,0.023836209,0.012989608,0.041838317,6.23E-06,4.95E-06,0.000731964,0.000444444,0.029118688,0,0,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-4020,0.918173695,0.081826305,0.857443126,0.076878471,0.064866329,0,0.000812075,0,0,0,0.839743151,0.160256849,0,1,0,0,0,1,0,0,0,0,0,0,0.588808067,0.411191933,0.315451539,0.115723048,0,0.274172368,0.294653045,0,0,0.028851484,0.009185898,0.525318618,0,0.354654154,0.013410402,0.056827777,0.011751668,1.471201772,3.617647059,0.838828373,1.339506498,7095562.714,142,49968.75151,1.073991238,2083739.446,0.833528982,0.096529082,0.004263532,0.062915692,0,0,0,0.001950637,0,0,0,0,0.000812075,0,0,0,"[1.00e+06,1.00e+07)","[1.00e+06,1.00e+07)",TRUE
ORG-4383,0.377538025,0.622461975,0.143541103,0.704549516,0.125904742,0.001383984,0.005068695,0.000196437,0.019269948,8.56E-05,0.67740742,0.3211642,0.00142838,1.000081551,7.71E-05,-0.000158667,0,0.994182483,0,0.005976184,0,-0.000158667,0,0,0.402078658,0.597921342,0.076867074,0.075712783,0.08960558,0.325336945,0.409628172,0.009781292,0.013068154,0,0.062270892,0.233178452,0.002374781,0.079713901,0.093828964,0.300738112,0.227894899,5.418827341,8.284210526,1.613474839,1.970544485,747274307,6376,117201.1147,0.172568442,283100668.1,0.082640126,0.178556144,0.040718307,0.09283736,0.033515541,0.513931964,0.001164113,0.019819281,0.000947745,0.001151051,0.004000565,0.016051063,0.005448227,0.00508664,0.000264823,0.003867048,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-4404,0.476029034,0.523970966,0.859047935,0.051841974,0.072518375,-2.66E-06,0.000265497,8.91E-06,0.016334004,-1.40E-05,0.892067693,0.080163596,0.027768711,0.707492703,0.108957423,0.14686368,0.036686193,0.837890865,0,0,0.004216327,0,0.036686193,0.121206615,0.366219673,0.633780327,0.029915839,0.243496706,0.023369402,0.336394267,0.256157551,0.109214895,0.00145134,-0.000126544,0.144743068,0.119531491,0.005749987,0.202089291,0.146167398,0.18764267,0.19420264,3.366865711,3.340909091,1.340441332,1.306897673,1079177471,2170,497316.8067,0.914693682,296899562.6,0.822779381,0.028519804,0.018238046,0.058311023,0,0.017905792,0,0.025359952,0.028558061,3.69E-06,4.82E-05,6.30E-05,0.00020555,0,7.54E-06,0,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-4774,0.981492085,0.018507915,0.522478562,0.307238514,0.086751925,0.019818701,0.054152874,0.000212546,0.009346268,6.11E-07,0.505169832,0.452201744,0.042628425,1,0,0,0,1,0,0,0,0,0,0,1.01724268,-0.01724268,1.01724268,0,0,0,-0.01724268,0,0,0,0.095843468,0,0,-0.078897597,0.499409393,0.421989818,0.061654917,3.194783065,5,1.287406528,1.510692977,7298898428,45512,160373.0539,0.017764753,4176861548,0.180729037,0.109846623,0.089163581,0.039028426,0.00177206,0.190671738,0.018723523,0.03031001,0.039234703,0.003554476,0.006208069,0.044400755,0.037696052,0.008568358,0.000196722,0.19989587,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-4793,0.938084908,0.061915092,0.988815017,0.011184983,0,0,0,0,0,0,0,1,0,1,0,0,0,0.19307971,0,0.80692029,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.938084908,0.061915092,0,0,1.061915092,1.25,0.71825159,0.794513458,37989732.94,2633,14428.30723,0.006628495,37989732.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1.00e+07,1.00e+08)","[1.00e+07,1.00e+08)",TRUE
ORG-4955,0.498586237,0.501413763,0.169970751,0.088289347,0.740244021,0.000155118,0.001340763,0,0,0,0.556791915,0.443208085,0,0.859065282,0.051091021,0.000629956,0.089213741,0.910786259,0,0,0,0,0.089213741,0,0.149623587,0.850376413,0.024599344,0.402944028,0.085646774,0.125633248,0.118787968,0.053161985,0.189226653,0.008778562,0.041485355,0.203228792,0.001184923,0.244360688,0.174534125,0.194413461,0.132014096,3.152486544,4.765217391,1.2621869,1.554627143,535945721.9,2544,210670.4882,0.7677456,136555039.7,0.1691261,0.066195175,0.011070336,0.344409891,0.000572884,0.014322303,0.000111174,0.392395981,0,0,2.47E-05,0.001585186,0.000186299,0,0,0,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
Uncategorized,0.344303826,0.655696174,0.636552932,0.094896003,0.166553304,0.0086801,0.004283773,0.005479327,0.024759486,0.058795076,0.547927926,0.324435099,0.127636975,0.597151679,0.036879225,0.364933027,0.00103607,0.564390349,0.00202033,0.05282872,0.109899603,0.165406744,0.00103607,0.104418184,0.473041386,0.526958614,0.025020124,0.04547055,0.124689276,0.450899722,0.337607759,0.014607187,0.001705381,0.018730825,0.084545974,0.148560867,0.006206838,0.084615541,0.259839362,0.22671479,0.170785803,6.67012934,32.57393236,1.491778079,2.420490318,5.83289E+11,1165082,500641.8666,0.017307241,58750995184,0.121152066,0.049941311,0.062250502,0.048458022,0.242528827,0.06300259,0.002566812,0.124441695,0.143656042,0.025488999,0.010111842,0.049433435,0.003071755,0.017629045,0.005129011,0.031138045,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
