PoPstateCode,pEffectiveComp,pService,pProduct,pRnD,pAir,pVessel,pLand,pMnS,pWnA,pFnC,pEnC,wavOffers,avOffers,lwavOffers,lavOffers,pFixed,pCostPlus,pIncentFee,pIDV,TotalValue,TotalCount,avSize,lavSize,fit,lwr,upr
AE,0.219752092,0.908243319,0.091756681,0,0,0.005584134,0.002094022,0,0,0.093994247,0.193542362,4.806608204,5.666666667,1.503078296,1.582893957,0.746072448,0.006674345,0,0.914559274,18922007.24,174,108747.168,1.986674625,0.768357783,0.539786469,0.996929097
AK,0.604714606,0.760360482,0.217924982,0.021714536,0.008542206,0.001130841,0.001511062,0.009301035,0.001154515,0.611564583,0.051890491,8.34810532,15.36838235,1.687269098,1.930724468,0.885381131,0.098854208,0.016691076,0.548131059,24989315590,59507,419939.0927,0.110915509,0.763191101,0.556102386,0.970279816
AL,0.764517714,0.394945691,0.215769104,0.389285206,0.070347303,0.047255442,0.021087344,0.10038093,0.013027639,0.120605542,0.083086876,5.603050568,33.96082609,1.538037075,2.232106144,0.41756019,0.505066688,0.028247165,0.433376616,1.13409E+11,165907,683571.7974,0.069076056,0.668854565,0.461180109,0.876529022
AR,0.534493629,0.54860213,0.441502487,0.009895383,0.017549415,0.015840723,0.003323548,0.006493484,0.21100125,0.434298938,0.0166672,6.422990413,20.38360368,1.410442638,2.086047418,0.853899334,0.141414403,-1.65E-06,0.443759383,11507184663,36570,314661.8721,0.116651139,0.6355186,0.427031824,0.844005376
AS,0.643614736,0.661885011,0.338114989,0,0,0,0,0,0,0.600384691,0.017811425,28.99872691,6.733944954,2.289742538,1.528205061,1,0,0,0.452121493,63832735.12,201,317575.7966,3.257471771,0.703702248,0.494431651,0.912972844
AZ,0.394099191,0.328161686,0.584594502,0.087243812,0.147996811,0.000468992,0.029245206,0.306297822,0.087621155,0.053803278,0.069232912,5.021767242,40.64859594,1.264232033,2.311565659,0.675010069,0.304630125,0.022392565,0.202254958,1.53279E+11,198589,771838.5614,0.051121884,0.387615506,0.149014852,0.62621616
CA,0.474070255,0.348552836,0.431370739,0.220076425,0.200484848,0.037844946,0.010244074,0.197440368,0.015575133,0.120843644,0.123825507,8.3594054,43.01170131,1.447004995,2.561725134,0.535904436,0.442371266,0.039455268,0.386342169,5.1802E+11,1138253,455100.5168,0.015981349,0.468195793,0.251950429,0.684441157
CO,0.586085725,0.481261806,0.313158712,0.205579482,0.009295253,0.000189697,0.001425627,0.266966492,0.043969435,0.225903778,0.161711335,7.048855043,36.37353706,1.418883383,2.283965712,0.447222349,0.512233057,0.010414558,0.48018635,66412552624,127392,521324.3581,0.081545007,0.587745023,0.357480132,0.818009914
CT,0.090383222,0.08216259,0.754755051,0.163082359,0.526010031,0.308457078,0.007380436,0.002147421,0.01404213,0.032993694,0.026726165,12.65082745,47.04309875,1.438047167,2.280897752,0.688985709,0.308870293,0.122348136,0.271445128,1.40263E+11,208755,671900.6482,0.040843539,0.198334776,-0.026922723,0.423592275
DC,0.539853001,0.723823051,0.207169582,0.069007367,0.000591016,0.099089926,0.002375647,0.007010523,0.000764591,0.126657978,0.231654936,8.087367432,21.16462668,1.51866221,1.983187445,0.564337579,0.3834081,0.008369358,0.619536475,56947416022,112767,505000.7185,0.123995583,0.615256593,0.40211005,0.828403135
DE,0.592131538,0.637780635,0.294195544,0.068023821,0.025066924,0.001811335,0.006489506,0.001659081,0.00591318,0.639542275,0.054277677,20.56001894,48.04041641,1.791037982,2.179029005,0.904375068,0.07868748,0,0.474409173,3143835157,16370,192048.574,0.185566408,0.692950516,0.486627884,0.899273148
FL,0.511281268,0.444170472,0.466472826,0.089356702,0.09818576,0.017894599,0.00865098,0.063090987,0.10415531,0.213067671,0.180565838,6.20947312,33.05731249,1.494996428,2.336160027,0.748823206,0.208984495,0.019232943,0.511930415,1.63555E+11,450223,363276.1396,0.028400899,0.511776379,0.309473945,0.714078814
GA,0.394387161,0.399996401,0.545728839,0.054274759,0.452237069,0.002525795,0.017425342,0.002723729,0.005813894,0.247328517,0.076365544,9.893933906,31.76019262,1.611738963,2.336187753,0.829453675,0.132090047,0.03317854,0.390458401,96894689049,259080,373995.2488,0.041088179,0.343712091,0.129281049,0.558143133
GU,0.8429163,0.915941931,0.083580125,0.000477944,0.00067853,0.05150906,0.002268267,0,0.000567783,0.806502562,0.016058438,7.502413717,8.38935756,1.848843982,1.899795708,0.845355875,0.144698582,-4.21E-06,0.506373149,7190652805,27441,262040.4798,0.132488518,0.87113411,0.652084372,1.090183848
HI,0.733853647,0.748982338,0.204842288,0.046175374,0.004047376,0.049878414,0.001398362,0.005148675,0.003272367,0.549011121,0.087454138,10.71295339,27.26383197,1.726127799,2.103492899,0.806348482,0.161171956,0.002939986,0.631883307,31542854864,151733,207883.9466,0.050301126,0.763747326,0.555815871,0.971678782
IA,0.455974996,0.200119644,0.704083918,0.095796438,0.14398652,0.001933354,0.009240693,0.002813627,0.051106428,0.146329194,0.473699153,9.678653126,28.17655172,1.420017142,1.967436835,0.787317471,0.193256351,0.003276676,0.462191674,15081444398,43949,343157.8511,0.11638321,0.373508682,0.140675572,0.606341793
ID,0.704978369,0.55995013,0.38820222,0.05184765,0.020229534,0.011135865,0.005242208,0.003815127,0.00688081,0.516796988,0.163459769,12.07273993,17.06898486,1.923140163,1.988194386,0.913084247,0.080901125,9.53E-05,0.650923813,3132512745,21352,146708.1653,0.1556135,0.62469457,0.42110091,0.828288229
IL,0.588350476,0.276008943,0.6604815,0.063509557,0.068755424,0.00308842,0.202791561,0.002272553,0.049440736,0.236126971,0.172985677,8.100778835,34.75004598,1.689486667,2.241453424,0.866749001,0.10350311,0.001223698,0.695977206,69171738142,436291,158544.9577,0.020638006,0.529976188,0.323269778,0.736682597
IN,0.279441856,0.207252077,0.750165201,0.042582722,0.117380991,0.000951036,0.378884359,0.008183329,0.00993701,0.081100435,0.172150157,6.164390446,25.63346515,1.38120643,2.243592333,0.856064779,0.12781884,0.005032777,0.487254318,61645560810,141230,436490.5531,0.058084822,0.418705497,0.209554234,0.627856761
KS,0.441744082,0.506195258,0.444950566,0.048854176,0.447999631,0.00034687,0.010604437,0.000555742,0.015726091,0.264397198,0.044494,5.386595118,17.5824822,1.538326986,2.155477319,0.809857683,0.14457774,0.006713302,0.465617371,27354246142,83293,328409.9041,0.077347312,0.43457196,0.218723303,0.650420617
KY,0.819211581,0.843358588,0.152418479,0.004222934,0.021726865,0.001575332,0.003665387,0.000429032,0.052232526,0.188637018,0.020034628,3.58958084,15.15629652,1.295493553,2.06447664,0.427478163,0.556341859,8.23E-05,0.284072934,69920581765,119147,586842.9903,0.066193034,0.747346827,0.526450004,0.96824365
LA,0.755150891,0.618666459,0.374794683,0.006538858,0.00319348,0.14991078,0.063267531,0.001100496,0.002187218,0.458652232,0.083021703,8.606907047,18.35271318,1.796575976,2.154729889,0.804052617,0.190381679,0.023074368,0.422999506,51515214478,98330,523901.2964,0.077476948,0.634247765,0.428906517,0.839589014
MA,0.255497514,0.22084313,0.483932567,0.295224303,0.143394604,0.009240954,0.010534492,0.118233895,0.108965277,0.050841066,0.264009015,13.06334881,50.47236459,1.368005328,2.520729905,0.589324496,0.370641252,0.008460497,0.397733516,1.44564E+11,221023,654066.7305,0.053812257,0.404889322,0.195983335,0.613795309
MD,0.48901046,0.561029914,0.300970892,0.137999194,0.074521247,0.027391214,0.004677931,0.026924488,0.022224278,0.158473468,0.240626575,10.07278274,41.26895953,1.447262968,2.342793488,0.551270765,0.344064547,0.020761955,0.623489781,1.61171E+11,416268,387180.4824,0.036781855,0.553295348,0.344794502,0.761796195
ME,0.463038231,0.210772325,0.720041887,0.069185788,0.000744205,0.681003878,0.002436781,0.005811527,0.033910603,0.07672065,0.006801599,5.396179232,25.17296997,1.311393349,1.915305092,0.864340024,0.12748736,0.489978006,0.124265407,24588118084,24230,1014779.946,0.169628194,0.427489092,0.182648746,0.672329437
MI,0.382232035,0.161315957,0.776164613,0.06251943,0.029017012,0.004516613,0.57675762,0.001503613,0.067885873,0.086976339,0.032098021,11.91107342,43.72032374,1.894269733,2.417138967,0.676858273,0.316475357,0.027875043,0.685329303,56821659014,151988,373856.219,0.041819777,0.51062111,0.295103539,0.72613868
MN,0.439262272,0.162800947,0.703967272,0.13323178,0.047230774,0.011619897,0.016689259,0.024514198,0.320023412,0.092566616,0.207846387,11.23014457,46.66425775,1.38147164,2.396870164,0.680628035,0.313703547,0.008542165,0.445852553,26052738429,76692,339706.0766,0.074327211,0.445539545,0.234509644,0.656569447
MO,0.211501793,0.147591026,0.684060623,0.168348351,0.467864987,0.000256864,0.010977469,0.019021883,0.133233765,0.088408934,0.050541659,5.394441807,25.28939828,1.433427299,2.147127987,0.772962467,0.215475947,0.179198081,0.327498443,1.34264E+11,205614,652990.4714,0.042576644,0.25640218,0.037739207,0.475065153
MP,0.782654644,0.9887029,0.0112971,0,0,0.009127159,0.001907757,0,0,0.756992571,0.017567343,6.382909492,7.109756098,1.790396967,1.737270965,0.928035862,0.071886173,0,0.794549633,51214526.46,177,289347.6071,2.837440931,0.9957311,0.752885385,1.238576816
MS,0.458522026,0.294518799,0.633863586,0.071617614,0.092057606,0.607794368,0.007990104,0.003297535,0.005946572,0.157826523,0.039829494,5.240283854,21.54314565,1.415819187,2.017153102,0.720520469,0.270922881,0.334595387,0.229931085,54040730738,69998,772032.4972,0.107129124,0.457793255,0.222654532,0.692931979
MT,0.585240653,0.612265029,0.347257282,0.040477689,0.021172593,0.001829991,0.018489909,0.010383452,0.00529435,0.532879862,0.060337078,10.82793998,22.439913,1.81307641,2.130197893,0.826215342,0.14888861,0.003720121,0.495261527,3479887362,24443,142367.441,0.129747721,0.668863812,0.463945227,0.873782396
NC,0.737340438,0.663321744,0.298288966,0.038389291,0.036579926,0.001140179,0.015333864,0.007218877,0.019365433,0.5160055,0.10580377,10.96410512,35.16559809,1.715366838,2.281902391,0.879128798,0.078390232,0.019162372,0.601548409,43728307664,209778,208450.3983,0.04276254,0.679534585,0.476021982,0.883047188
ND,0.794088822,0.705173965,0.280939247,0.013886788,0.014698728,0.000957727,0.018537719,0.001277096,0.000667954,0.696277515,0.024424581,9.377556479,12.91821346,1.898329729,2.015479493,0.972277229,0.025225316,0.0066898,0.509836131,4465284952,24829,179841.514,0.130426705,0.741616874,0.533940729,0.94929302
NE,0.626897903,0.701152828,0.24297958,0.055867592,0.025391706,0.000430261,0.003159782,0.003419047,0.005030571,0.237302813,0.297529802,6.392289062,15.05562372,1.475739178,1.908809359,0.639561941,0.290061982,9.89E-06,0.570827236,8928400055,28592,312269.1681,0.200671801,0.513653721,0.290966346,0.736341096
NH,0.353428647,0.168445224,0.694320842,0.137233934,0.093463129,0.006668848,0.003623128,0.020132475,0.104890644,0.113024463,0.506157644,17.27072999,48.02008457,1.498525835,2.218685856,0.685879785,0.220734762,2.99E-07,0.627273156,16851494873,48459,347747.4746,0.102282365,0.437687339,0.200323863,0.675050815
NJ,0.510830336,0.516979518,0.339372071,0.143648411,0.022984166,0.021675319,0.014854629,0.044420453,0.038920366,0.189459742,0.212967889,7.685812545,38.82025723,1.524766556,2.353650702,0.496409549,0.27267762,0.033153514,0.593100195,88281929908,432373,204180.0249,0.023194877,0.580557014,0.375565665,0.785548362
NM,0.567893092,0.576918057,0.179109837,0.243972106,0.038223738,0.000560889,0.012701229,0.072758048,0.076273109,0.325925959,0.110629947,9.33674232,37.33678881,1.535438583,2.216247325,0.581629047,0.387714289,0.004152184,0.44692515,18759871696,56559,331686.7642,0.127395468,0.672671322,0.466563104,0.87877954
NV,0.498421915,0.622506993,0.342910256,0.034582751,0.306147945,0.000327863,0.011899695,0.003691964,0.020258386,0.260863901,0.100875868,8.549262877,28.28082737,1.606481249,2.137857883,0.770853814,0.213145883,2.42E-06,0.650699653,15054797647,30572,492437.4476,0.187332291,0.561990257,0.347635932,0.776344582
NY,0.390475237,0.246619146,0.573284309,0.180096545,0.257796701,0.062713259,0.012348494,0.031823604,0.021576502,0.126457529,0.277670975,7.817798011,42.31435421,1.432686835,2.481661877,0.69988073,0.286102196,0.014602762,0.445660461,1.04515E+11,428989,243630.7134,0.023368209,0.360629561,0.152956271,0.568302852
OH,0.45723283,0.304928616,0.556838702,0.138232681,0.232571315,0.003849601,0.076946386,0.003702567,0.025180529,0.130653981,0.120787434,8.652123815,36.65682767,1.493962664,2.31126989,0.730349777,0.220190856,3.08E-05,0.697061342,81917301529,540808,151472.0595,0.017709279,0.509842101,0.300977766,0.718706437
OK,0.682599088,0.668870227,0.308452134,0.022677639,0.121470945,0.000994269,0.012845077,0.011148952,0.065518416,0.293056111,0.089081641,10.14809357,16.39435884,1.910325466,2.06511407,0.784819221,0.086775219,0.037389125,0.649687304,31237183082,89639,348477.5944,0.085964063,0.666673658,0.460244273,0.873103044
OR,0.524983698,0.417734783,0.494380365,0.087884852,0.011284108,0.066597333,0.215320828,0.048240223,0.016329076,0.384274221,0.123248025,9.451474859,43.57339246,1.406496779,2.175079607,0.779504812,0.217343394,2.18E-06,0.488760072,12034781681,54867,219344.6276,0.089109481,0.567954719,0.364847661,0.771061776
PA,0.437722565,0.238058293,0.656899265,0.105042442,0.161413389,0.069463632,0.159073116,0.0359332,0.052961796,0.127981205,0.096544536,8.30603753,40.04996271,1.4959625,2.381933966,0.661775543,0.323723115,0.012298243,0.510766553,1.39286E+11,900851,154616.0332,0.012273635,0.453257096,0.249822697,0.656691495
PR,0.72752753,0.393474788,0.604584668,0.001940544,0.00510397,0.000472277,0.002193537,0.000561002,0.000511553,0.349546159,0.024823914,8.923709964,8.359428182,1.850611144,1.802571733,0.934876505,0.06081591,8.55E-07,0.686949279,6621451666,19803,334366.0893,0.178022155,0.617616512,0.408160864,0.82707216
RI,0.438546281,0.508892561,0.383569161,0.107538278,0.061327214,0.020337545,0.002325544,0.042920118,0.049934808,0.198741555,0.221294381,6.988351395,25.87483646,1.338347652,1.890080583,0.583339506,0.408207531,0.025665101,0.540428338,8760819115,36992,236830.1015,0.182718042,0.532108265,0.327828832,0.736387698
SC,0.630543272,0.555403784,0.42868307,0.015913146,0.074455922,0.015701091,0.142186869,0.000790596,0.044896663,0.200551137,0.303574947,5.739312396,21.77581121,1.516481144,2.089626944,0.688038558,0.291250076,0.00057917,0.748615336,42981966536,203867,210833.3695,0.038605249,0.530373113,0.318770907,0.74197532
SD,0.827199744,0.246485514,0.746274547,0.00723994,0.02419971,0.000173616,0.00561606,0.071802179,0.023160153,0.267719442,0.071394932,5.293404151,12.0418702,1.579329634,1.93926207,0.976668639,0.020104072,0,0.749392125,5121382077,17998,284552.8435,0.172293156,0.542239379,0.326423499,0.75805526
TN,0.752356168,0.696609862,0.291578438,0.0118117,0.005484918,0.001895425,0.036429754,0.005270193,0.087938618,0.132042376,0.030763548,7.29854982,23.33529412,1.645424815,2.158377759,0.84748204,0.140832517,0,0.732030115,36140053634,90528,399214.0955,0.064909783,0.801274513,0.587647488,1.014901537
TX,0.404326856,0.24641338,0.621230033,0.132356587,0.421086866,0.002195108,0.058312649,0.045151983,0.031441519,0.099275011,0.084413831,8.833837899,37.81051082,1.669313795,2.415996287,0.739488265,0.241149781,0.094439838,0.398156306,4.05859E+11,623396,651045.4008,0.023713521,0.319766675,0.108238824,0.531294526
UT,0.698604922,0.705600885,0.226108663,0.068290451,0.032715272,0.002010079,0.002951049,0.022617563,0.361963266,0.24013316,0.156440776,5.581521443,27.28267974,1.400123547,2.025935761,0.510897263,0.450466373,0.066041626,0.331587135,31811373791,66460,478654.4356,0.102521058,0.578337913,0.362211928,0.794463899
VA,0.541989246,0.655263058,0.25130429,0.093432652,0.018843916,0.114131576,0.012443621,0.008029318,0.016904357,0.096700808,0.293047084,6.777595638,36.34437906,1.43830753,2.338040501,0.541619446,0.348305581,0.024792486,0.667434373,4.72666E+11,1091433,433069.3648,0.019748892,0.556148369,0.336372201,0.775924536
VI,0.939046075,0.374487721,0.625512279,0,7.78E-05,0.000596626,0.001968459,0,0,0.340038473,0.015968031,27.9596538,8.19895288,2.269434932,1.509207944,1.000068556,-0.000581122,0,0.684922965,201694646.5,978,206231.7449,0.804330943,0.609928564,0.399231841,0.820625287
VT,0.429446108,0.07648457,0.859547805,0.063967625,0.101995872,0.000954365,0.006424224,0.018800145,0.500118877,0.118133065,0.188442808,4.490313411,16.92362093,1.257842796,1.917500006,0.91784133,0.081923649,0.000204971,0.579529851,7288096610,22161,328870.3854,0.131268698,0.422896301,0.210544893,0.63524771
WA,0.577550661,0.326179472,0.562703708,0.11111682,0.32751498,0.037329374,0.004998399,0.005928879,0.073978055,0.204545,0.09211401,9.772930202,39.78871855,1.644724105,2.301669989,0.744158259,0.240835217,0.087502843,0.430008406,77299398727,249349,310004.8475,0.036245715,0.398163262,0.191307496,0.605019028
WI,0.352041366,0.093497222,0.874109069,0.032393708,0.005578049,0.007790208,0.692491841,0.000630811,0.04347607,0.093446107,0.014758034,6.262133709,30.4901758,1.367317502,2.15604457,0.975013173,0.02350798,0.008541191,0.751056182,49021825855,113960,430166.952,0.047329865,0.484373827,0.258958036,0.709789619
WV,0.604478203,0.575084021,0.313591409,0.11132457,0.012521911,0.017612807,0.017661072,0.032419145,0.098203145,0.437512023,0.169108317,10.80091825,30.64546989,1.49247267,2.008070936,0.793451088,0.177493436,0.003797021,0.369324913,4311907508,25721,167641.5189,0.148253542,0.56011685,0.348338509,0.771895191
WY,0.8192445,0.540156523,0.442714682,0.017128794,0.022490655,0.000612333,0.004969213,0.004246001,0.029176401,0.501749094,0.03863584,14.79558758,17.63053435,2.302100829,2.05848017,0.917687452,0.062313868,0,0.686898589,2198846694,9104,241525.3398,0.302027987,0.692253158,0.485349598,0.899156718
